skillName,simLinked,simSymba
online advertising,"Tuple{String,Float32}[(""online advertising"", 1.0), (""false advertising"", 0.777778), (""mobile advertising"", 0.777778), (""native advertising"", 0.777778), (""print advertising"", 0.777778), (""consumer advertising"", 0.75), (""magazine advertising"", 0.75), (""in-game advertising"", 0.736842), (""brand advertising"", 0.722222), (""image advertising"", 0.722222), (""media advertising"", 0.722222), (""radio advertising"", 0.722222), (""social advertising"", 0.722222), (""trade advertising"", 0.722222), (""video advertising"", 0.722222)]","Tuple{String,Float32}[]"
online marketing,"Tuple{String,Float32}[(""online marketing"", 1.0), (""online-marketing"", 0.9375), (""offline marketing"", 0.882353), (""wine marketing"", 0.8125), (""alliance marketing"", 0.777778), (""content marketing"", 0.764706), (""casino marketing"", 0.75), (""joint marketing"", 0.75), (""mobile marketing"", 0.75), (""niche marketing"", 0.75), (""online dating"", 0.75), (""online printing"", 0.75), (""online writing"", 0.75), (""print marketing"", 0.75), (""unique marketing"", 0.75), (""online video marketing"", 0.727273), (""consumer marketing"", 0.722222), (""online marketplace"", 0.722222), (""article marketing"", 0.705882), (""athlete marketing"", 0.705882), (""content-marketing"", 0.705882), (""inbound marketing"", 0.705882), (""mobiles marketing"", 0.705882), (""partner marketing"", 0.705882), (""seminar marketing"", 0.705882), (""tourism marketing"", 0.705882)]","Tuple{String,Float32}[]"
business process,"Tuple{String,Float32}[(""business process"", 1.0), (""business partners"", 0.764706), (""business profiles"", 0.764706), (""business property"", 0.764706), (""business groups"", 0.75), (""business notes"", 0.75), (""business papers"", 0.75), (""business rates"", 0.75), (""business rules"", 0.75), (""business awareness"", 0.722222), (""business concepts"", 0.705882), (""business services"", 0.705882)]","Tuple{String,Float32}[]"
software project management,"Tuple{String,Float32}[(""software project management"", 1.0), (""software product management"", 0.925926), (""software process management"", 0.888889), (""offshore project management"", 0.814815), (""software asset management"", 0.814815), (""total project management"", 0.814815), (""off-shore project management"", 0.785714), (""sap project management"", 0.777778), (""small project management"", 0.777778), (""software sales management"", 0.777778), (""systems project management"", 0.777778), (""web-based project management"", 0.75), (""agile project management"", 0.740741), (""complex project management"", 0.740741), (""digital project management"", 0.740741), (""hr project management"", 0.740741), (""legal project management"", 0.740741), (""research project management"", 0.740741), (""software quality management"", 0.740741), (""web project management"", 0.740741), (""government project management"", 0.724138), (""multi-site project management"", 0.724138), (""software lifecycle management"", 0.724138), (""editorial project management"", 0.714286), (""waterfall project management"", 0.714286)]","Tuple{String,Float32}[]"
business analysis,"Tuple{String,Float32}[(""business analysis"", 1.0), (""business analytics"", 0.888889), (""basin analysis"", 0.764706), (""business catalyst"", 0.764706), (""stress analysis"", 0.764706), (""business diagnosis"", 0.722222), (""business impact analysis"", 0.708333), (""budget analysis"", 0.705882), (""business basic"", 0.705882), (""business deals"", 0.705882), (""business english"", 0.705882), (""music analysis"", 0.705882), (""news analysis"", 0.705882), (""process analysis"", 0.705882), (""sales analysis"", 0.705882), (""sieve analysis"", 0.705882), (""site analysis"", 0.705882), (""systems analysis"", 0.705882), (""usage analysis"", 0.705882), (""user analysis"", 0.705882)]","Tuple{String,Float32}[]"
erp,"Tuple{String,Float32}[(""ercp"", 0.75)]","Tuple{String,Float32}[]"
testing,"Tuple{String,Float32}[(""testing"", 1.0), (""tenting"", 0.857143), (""test ng"", 0.857143), (""testng"", 0.857143), (""retesting"", 0.777778), (""testlink"", 0.75), (""treating"", 0.75), (""trusting"", 0.75), (""belting"", 0.714286), (""betting"", 0.714286), (""casting"", 0.714286), (""desking"", 0.714286), (""destiny"", 0.714286), (""eating"", 0.714286), (""felting"", 0.714286), (""heating"", 0.714286), (""hosting"", 0.714286), (""meeting"", 0.714286), (""melting"", 0.714286), (""meshing"", 0.714286), (""netting"", 0.714286), (""posting"", 0.714286), (""seating"", 0.714286), (""setting"", 0.714286), (""teaming"", 0.714286), (""tinting"", 0.714286), (""vetting"", 0.714286)]","Tuple{String,Float32}[(""testing"", 1.0), (""testing"", 1.0), (""testing"", 1.0), (""testing"", 1.0), (""hosting"", 0.714286)]"
software documentation,"Tuple{String,Float32}[(""software documentation"", 1.0), (""software implementation"", 0.782609), (""contract documentation"", 0.772727), (""site documentation"", 0.772727), (""lease documentation"", 0.727273), (""loan documentation"", 0.727273), (""software creation"", 0.727273), (""support documentation"", 0.727273), (""procedures documentation"", 0.708333), (""software cost estimation"", 0.708333), (""structured documentation"", 0.708333)]","Tuple{String,Float32}[]"
python,"Tuple{String,Float32}[(""python"", 1.0), (""vpython"", 0.857143), (""jython"", 0.833333), (""wxpython"", 0.75)]","Tuple{String,Float32}[(""python"", 1.0)]"
c++,"Tuple{String,Float32}[(""c++"", 1.0)]","Tuple{String,Float32}[(""c++"", 1.0)]"
b2b,"Tuple{String,Float32}[(""b2b"", 1.0)]","Tuple{String,Float32}[]"
team building,"Tuple{String,Float32}[(""team building"", 1.0), (""dream building"", 0.857143), (""boat building"", 0.769231), (""peacebuilding"", 0.769231), (""set building"", 0.769231), (""metal buildings"", 0.733333), (""steel buildings"", 0.733333), (""system building"", 0.733333), (""wealth building"", 0.733333), (""green building"", 0.714286), (""image building"", 0.714286), (""level building"", 0.714286), (""staff building"", 0.714286), (""trust building"", 0.714286), (""template building"", 0.705882)]","Tuple{String,Float32}[]"
customer relations,"Tuple{String,Float32}[(""customer relations"", 1.0), (""customs regulations"", 0.789474), (""consumer relations"", 0.777778), (""customer retention"", 0.777778), (""customer returns"", 0.777778), (""user relations"", 0.777778), (""customer presentations"", 0.772727), (""customer applications"", 0.761905), (""customer interactions"", 0.761905), (""customer negotiations"", 0.761905), (""customer orientation"", 0.75), (""customer validation"", 0.736842), (""carrier relations"", 0.722222), (""cultural relations"", 0.722222), (""custom solutions"", 0.722222), (""customer education"", 0.722222), (""customer reporting"", 0.722222), (""customer reviews"", 0.722222), (""partner relations"", 0.722222)]","Tuple{String,Float32}[(""customer registration"", 0.714286)]"
account management,"Tuple{String,Float32}[(""account management"", 1.0), (""accounting management"", 0.857143), (""headcount management"", 0.85), (""accident management"", 0.842105), (""key account management"", 0.818182), (""key-account management"", 0.818182), (""new account management"", 0.818182), (""cost management"", 0.777778), (""font management"", 0.777778), (""catchment management"", 0.75), (""large account management"", 0.75), (""total account management"", 0.75), (""aircraft management"", 0.736842), (""compound management"", 0.736842), (""document management"", 0.736842), (""incident management"", 0.736842), (""pavement management"", 0.736842), (""acd management"", 0.722222), (""airline management"", 0.722222), (""airport management"", 0.722222), (""artist management"", 0.722222), (""asset management"", 0.722222), (""auction management"", 0.722222), (""audit management"", 0.722222), (""carbon management"", 0.722222), (""casino management"", 0.722222), (""cmo management"", 0.722222), (""color management"", 0.722222), (""content management"", 0.722222), (""course management"", 0.722222), (""credit management"", 0.722222), (""cro management"", 0.722222), (""event management"", 0.722222), (""faculty management"", 0.722222), (""fault management"", 0.722222), (""grant management"", 0.722222), (""grounds management"", 0.722222), (""house management"", 0.722222), (""labour management"", 0.722222), (""output management"", 0.722222), (""plant management"", 0.722222), (""port management"", 0.722222), (""print management"", 0.722222), (""product management"", 0.722222), (""profit management"", 0.722222), (""records management"", 0.722222), (""school management"", 0.722222), (""scope management"", 0.722222), (""talent management"", 0.722222), (""tour management"", 0.722222), (""trust management"", 0.722222)]","Tuple{String,Float32}[(""event management"", 0.722222), (""content management"", 0.722222), (""product management"", 0.722222), (""float management"", 0.722222), (""asset management"", 0.722222), (""done management"", 0.722222)]"
live sound,"Tuple{String,Float32}[(""live sound"", 1.0)]","Tuple{String,Float32}[]"
problem solving,"Tuple{String,Float32}[(""problem solving"", 1.0), (""problem-solving"", 0.933333), (""team problem solving"", 0.75), (""problem finding"", 0.733333), (""problem framing"", 0.733333)]","Tuple{String,Float32}[(""problem solving"", 1.0)]"
pro tools,"Tuple{String,Float32}[(""pro tools"", 1.0), (""orm tools"", 0.777778), (""plm tools"", 0.777778), (""protocols"", 0.777778), (""protool"", 0.777778), (""rf tools"", 0.777778), (""press tools"", 0.727273)]","Tuple{String,Float32}[]"
engineering,"Tuple{String,Float32}[(""engineering"", 1.0), (""bioengineering"", 0.785714), (""qa engineering"", 0.785714), (""re-engineering"", 0.785714), (""rf engineering"", 0.785714), (""imagineering"", 0.75), (""a/v engineering"", 0.733333), (""mep engineering"", 0.733333), (""mix engineering"", 0.733333), (""osp engineering"", 0.733333), (""web engineering"", 0.733333), (""engineers"", 0.727273)]","Tuple{String,Float32}[(""engineering"", 1.0)]"
project engineering,"Tuple{String,Float32}[(""project engineering"", 1.0), (""product engineering"", 0.894737), (""process engineering"", 0.842105), (""protein engineering"", 0.842105), (""power engineering"", 0.789474), (""robust engineering"", 0.789474), (""product re-engineering"", 0.772727), (""production engineering"", 0.772727), (""broadcast engineering"", 0.761905), (""petroleum engineering"", 0.761905), (""frontend engineering"", 0.75), (""pavement engineering"", 0.75), (""combat engineering"", 0.736842), (""cost engineering"", 0.736842), (""green engineering"", 0.736842), (""ocean engineering"", 0.736842), (""paper engineering"", 0.736842), (""plant engineering"", 0.736842), (""river engineering"", 0.736842), (""test engineering"", 0.736842), (""aerospace engineering"", 0.714286), (""component engineering"", 0.714286), (""front-end engineering"", 0.714286)]","Tuple{String,Float32}[]"
autocad,"Tuple{String,Float32}[(""autocad"", 1.0), (""auto-id"", 0.714286), (""autocue"", 0.714286), (""autofac"", 0.714286), (""automod"", 0.714286), (""autosar"", 0.714286)]","Tuple{String,Float32}[]"
