skillName,simSymba,bestSimSymba
event management,"Tuple{String,Float32}[(""event management"", 1.0), (""revenue management"", 0.833333), (""content management"", 0.777778), (""team management"", 0.75), (""float management"", 0.75), (""asset management"", 0.75), (""done management"", 0.75), (""project management"", 0.722222), (""cadence management"", 0.722222), (""cadence management"", 0.722222), (""change management"", 0.705882), (""budget management"", 0.705882), (""rights management"", 0.705882)]",1
photoshop,"Tuple{String,Float32}[(""photoshop"", 1.0)]",1
restful webservices,"Tuple{String,Float32}[(""restful web services"", 0.95)]",0.95
oracle,"Tuple{String,Float32}[(""oracle"", 1.0)]",1
mysql,"Tuple{String,Float32}[(""mysql"", 1.0)]",1
operations management,"Tuple{String,Float32}[(""operations management"", 1.0), (""operations management"", 1.0)]",1
windows,"Tuple{String,Float32}[(""windows"", 1.0)]",1
.net,"Tuple{String,Float32}[("".net"", 1.0)]",1
tableau,"Tuple{String,Float32}[(""tableau"", 1.0)]",1
c#,"Tuple{String,Float32}[(""c#"", 1.0)]",1
writing,"Tuple{String,Float32}[(""writing"", 1.0), (""writing"", 1.0)]",1
financial accounting,"Tuple{String,Float32}[(""financial accounting"", 1.0), (""managerial accounting"", 0.761905)]",1
sharepoint,"Tuple{String,Float32}[(""sharepoint"", 1.0)]",1
design thinking,"Tuple{String,Float32}[(""design thinking"", 1.0)]",1
risk management,"Tuple{String,Float32}[(""risk management"", 1.0), (""task management"", 0.866667), (""task management"", 0.866667), (""rights management"", 0.764706), (""order management"", 0.75), (""asset management"", 0.75), (""waste management"", 0.75), (""team management"", 0.733333), (""page management"", 0.733333), (""done management"", 0.733333), (""process management"", 0.722222)]",1
banking,"Tuple{String,Float32}[(""banking"", 1.0), (""banking"", 1.0), (""booking"", 0.714286)]",1
capital markets,"Tuple{String,Float32}[(""capital markets"", 1.0)]",1
django,"Tuple{String,Float32}[(""django"", 1.0)]",1
data analysis,"Tuple{String,Float32}[(""data analysis"", 1.0), (""data analysis"", 1.0), (""gap analysis"", 0.769231)]",1
php,"Tuple{String,Float32}[(""php"", 1.0)]",1
python,"Tuple{String,Float32}[(""python"", 1.0)]",1
laravel,"Tuple{String,Float32}[(""laravel"", 1.0)]",1
visual basic,"Tuple{String,Float32}[(""visual basics"", 0.923077)]",0.923077
spring,"Tuple{String,Float32}[(""spring"", 1.0), (""sprint"", 0.833333)]",1
budgets,"Tuple{String,Float32}[(""budgets"", 1.0)]",1
