"_id",parentID,text
58fbd72d0de1ee000f1c6d73,58fbd7080de1ee000f1c6d6e,School Project
58fbd7360de1ee000f1c6d74,58fbd7190de1ee000f1c6d6f,Webinar
58fbd7400de1ee000f1c6d77,58fbd7190de1ee000f1c6d6f,Motivational Speaking
58fbd7440de1ee000f1c6d78,58fbd7190de1ee000f1c6d6f,Investor Pitch
58fbd74d0de1ee000f1c6d79,58fbd5fd0de1ee000f1c6d52,Filing
58fbd7510de1ee000f1c6d7a,58fbd5fd0de1ee000f1c6d52,Database
58fbd7540de1ee000f1c6d7b,58fbd5fd0de1ee000f1c6d52,Photocopying
58fbd7590de1ee000f1c6d7c,58fbd5fd0de1ee000f1c6d52,Scanning
58fbd75d0de1ee000f1c6d7d,58fbd5fd0de1ee000f1c6d52,Proofreading
58fbd7610de1ee000f1c6d7e,58fbd5fd0de1ee000f1c6d52,General Support/Assistance
58fbd7640de1ee000f1c6d7f,5cbcc7837bb6a24273685e1f,Record Keeping
58fbd7680de1ee000f1c6d80,58fbd5fd0de1ee000f1c6d52,Scheduling
58fbd76b0de1ee000f1c6d81,58fbd5fd0de1ee000f1c6d52,Meetings
58fbd77b0de1ee000f1c6d83,58fbd76b0de1ee000f1c6d81,Scheduling
58fbd7f90de1ee000f1c6d84,58fbd7680de1ee000f1c6d80,Personal Calender Management
58fbd8000de1ee000f1c6d86,58fbd7680de1ee000f1c6d80,Time-line Management
58fbd8030de1ee000f1c6d87,58fbd7680de1ee000f1c6d80,Appointment Setting
58fbd80b0de1ee000f1c6d88,59301d038c9e7200107363e5,CPT-4
58fbd80e0de1ee000f1c6d89,59301d038c9e7200107363e5,ICD-10
58fbd8190de1ee000f1c6d8a,58fbd74d0de1ee000f1c6d79,Alphabetical
58fbd81c0de1ee000f1c6d8b,58fbd74d0de1ee000f1c6d79,Numerical
58fbd81f0de1ee000f1c6d8c,58fbd74d0de1ee000f1c6d79,Other-Code
58fbd8710de1ee000f1c6d8d,58fbd6020de1ee000f1c6d53,Report Editing
58fbd8730de1ee000f1c6d8e,58fbd6020de1ee000f1c6d53,Dictation
58fbd8760de1ee000f1c6d8f,58fbd6020de1ee000f1c6d53,Report Creation
58fbd8790de1ee000f1c6d90,58fbd6020de1ee000f1c6d53,Note Taking
58fbd87c0de1ee000f1c6d91,58fbd6020de1ee000f1c6d53,Minutes Taking
58fbd89e0de1ee000f1c6d93,58fbd6020de1ee000f1c6d53,Blogging
58fbd8a10de1ee000f1c6d94,5943c78ffbb5ab65ec4010c8,Copy/Text Creation
58fbd8a70de1ee000f1c6d95,58fbd5fd0de1ee000f1c6d52,Typing Speed
58fbd8ad0de1ee000f1c6d96,58fbd8a70de1ee000f1c6d95,1-29 wpm
58fbd8af0de1ee000f1c6d97,58fbd8a70de1ee000f1c6d95,30-59 wpm
58fbd8b30de1ee000f1c6d98,58fbd8a70de1ee000f1c6d95,60-89 wpm
58fbd8b70de1ee000f1c6d99,58fbd8a70de1ee000f1c6d95,90-119 wpm
58fbd8bb0de1ee000f1c6d9a,58fbd8a70de1ee000f1c6d95,120+ wpm
58fbd8fa0de1ee000f1c6d9b,58fbd60d0de1ee000f1c6d55,Medical
58fbd8fe0de1ee000f1c6d9c,58fbd60d0de1ee000f1c6d55,Scientific
58fbd9010de1ee000f1c6d9d,58fbd60d0de1ee000f1c6d55,Engineering
58fbd9080de1ee000f1c6d9e,58fbd60d0de1ee000f1c6d55,Computer
58fbd9130de1ee000f1c6da0,58fbd60d0de1ee000f1c6d55,Finance
58fbd9730de1ee000f1c6da2,58fbd6110de1ee000f1c6d56,Copy Machine
58fbd97c0de1ee000f1c6da4,58fbd6110de1ee000f1c6d56,Fax Machine
58fbd9800de1ee000f1c6da5,58fbd6110de1ee000f1c6d56,Scanner
58fbd9840de1ee000f1c6da6,58fbd6110de1ee000f1c6d56,Coffee Maker
58fbd98e0de1ee000f1c6da7,59775cb0aee015000f1409b5,Negotiation
58fbd9910de1ee000f1c6da8,59775cb0aee015000f1409b5,Persuasion
58fbd99c0de1ee000f1c6dab,58fbd7190de1ee000f1c6d6f,10-20 Participants
58fbd9a00de1ee000f1c6dac,58fbd7190de1ee000f1c6d6f,20-100 Participants
58fbd9a30de1ee000f1c6dad,58fbd7190de1ee000f1c6d6f,100+ Participants
58fbd9b50de1ee000f1c6daf,58fbd61a0de1ee000f1c6d58,Mentoring
58fbd9c50de1ee000f1c6db4,58fbd5c13b0fc40b7974b457,Problem Solving
58fbd9dc0de1ee000f1c6db8,58fbd9c50de1ee000f1c6db4,Ideation
58fbd9df0de1ee000f1c6db9,5943b0a000b1c5000e43bec8,Change Management
58fbd9e20de1ee000f1c6dba,58fbd9c50de1ee000f1c6db4,Implementation
58fbe33e3b0fc40b7974b459,,Software - Development
58fbe36f0de1ee000f1c6dbb,58fbe33e3b0fc40b7974b459,Web
58fbe3ae0de1ee000f1c6dbc,58fbe33e3b0fc40b7974b459,Back-End Development
58fbe3b20de1ee000f1c6dbd,58fbe33e3b0fc40b7974b459,Databases
58fbe3b60de1ee000f1c6dbe,58fbe33e3b0fc40b7974b459,Programming Languages
58fbe3ba0de1ee000f1c6dbf,58fbe33e3b0fc40b7974b459,Testing
58fbe3de0de1ee000f1c6dc0,58fbe36f0de1ee000f1c6dbb,HTML
58fbe3e10de1ee000f1c6dc1,58fbe36f0de1ee000f1c6dbb,CSS
58fbe3e50de1ee000f1c6dc2,58fbe36f0de1ee000f1c6dbb,Responsive Web Design
58fbe3ea0de1ee000f1c6dc3,58fbe36f0de1ee000f1c6dbb,User Interface Frameworks
58fbe3ed0de1ee000f1c6dc4,58fbe36f0de1ee000f1c6dbb,Front-End Javascript Libraries
58fbe3f20de1ee000f1c6dc5,58fbe36f0de1ee000f1c6dbb,Front-End Javascript Frameworks
58fbe3fc0de1ee000f1c6dc6,58fbe3f20de1ee000f1c6dc5,AngularJS
58fbe4020de1ee000f1c6dc7,58fbe3f20de1ee000f1c6dc5,Angular(2+)
