skillName,simLinked,simSymba
publicity,"Tuple{String,Float32}[(""publicity"", 1.0), (""publicists"", 0.8), (""publicist"", 0.7777778)]","Tuple{String,Float32}[(""publicity"", 1.0), (""publicists"", 0.8), (""publicist"", 0.7777778)]"
unity,"Tuple{String,Float32}[(""unity"", 1.0), (""unify"", 0.8), (""unit"", 0.8), (""units"", 0.8), (""unity3d"", 0.71428573)]","Tuple{String,Float32}[(""unity"", 1.0), (""unify"", 0.8), (""unit"", 0.8), (""units"", 0.8), (""unity3d"", 0.71428573)]"
maya,"Tuple{String,Float32}[(""maya"", 1.0), (""maa"", 0.75), (""maaa"", 0.75)]","Tuple{String,Float32}[(""maya"", 1.0), (""maa"", 0.75), (""maaa"", 0.75)]"
perforce,"Tuple{String,Float32}[(""perforce"", 1.0), (""performer"", 0.7777778), (""payforce"", 0.75)]","Tuple{String,Float32}[(""perforce"", 1.0), (""performer"", 0.7777778), (""payforce"", 0.75)]"
analytical skills,"Tuple{String,Float32}[(""analytical skills"", 1.0), (""high analytical skills"", 0.77272725), (""analysis skills"", 0.7647059), (""analytical models"", 0.7647059), (""sound analytical skills"", 0.73913044), (""analytical sciences"", 0.7368421), (""analytical services"", 0.7368421), (""analytical systems"", 0.7222222), (""analytical mind"", 0.7058824), (""clerical skills"", 0.7058824), (""clinical skills"", 0.7058824), (""critical skills"", 0.7058824), (""managerial skills"", 0.7058824)]","Tuple{String,Float32}[(""analytical skills"", 1.0), (""high analytical skills"", 0.77272725), (""analysis skills"", 0.7647059), (""analytical models"", 0.7647059), (""sound analytical skills"", 0.73913044), (""analytical sciences"", 0.7368421), (""analytical services"", 0.7368421), (""analytical systems"", 0.7222222), (""analytical mind"", 0.7058824), (""clerical skills"", 0.7058824), (""clinical skills"", 0.7058824), (""critical skills"", 0.7058824), (""managerial skills"", 0.7058824)]"
tutoring,"Tuple{String,Float32}[(""tutoring"", 1.0), (""futuring"", 0.75), (""storing"", 0.75), (""suturing"", 0.75), (""turing"", 0.75)]","Tuple{String,Float32}[(""tutoring"", 1.0), (""futuring"", 0.75), (""storing"", 0.75), (""suturing"", 0.75), (""turing"", 0.75)]"
oracle sql developer,"Tuple{String,Float32}[(""oracle sql developer"", 1.0), (""oracle pl/sql development"", 0.76)]","Tuple{String,Float32}[(""oracle sql developer"", 1.0), (""oracle pl/sql development"", 0.76)]"
ubuntu,"Tuple{String,Float32}[(""ubuntu"", 1.0), (""kubuntu"", 0.85714287)]","Tuple{String,Float32}[(""ubuntu"", 1.0), (""kubuntu"", 0.85714287)]"
microsoft excel 2007,"Tuple{String,Float32}[(""microsoft office 2007"", 0.7619048), (""microsoft excel"", 0.75), (""microsoft exchange 2003"", 0.73913044), (""microsoft office 2000"", 0.71428573), (""microsoft office 2003"", 0.71428573), (""microsoft office 2004"", 0.71428573)]","Tuple{String,Float32}[(""microsoft office 2007"", 0.7619048), (""microsoft excel"", 0.75), (""microsoft exchange 2003"", 0.73913044), (""microsoft office 2000"", 0.71428573), (""microsoft office 2003"", 0.71428573), (""microsoft office 2004"", 0.71428573)]"
proficient in german,"Tuple{String,Float32}[(""proficient in indesign"", 0.72727275)]","Tuple{String,Float32}[(""proficient in indesign"", 0.72727275)]"
adobe software,"Tuple{String,Float32}[(""adobe software"", 1.0), (""apple software"", 0.78571427), (""mobile software"", 0.73333335), (""audit software"", 0.71428573), (""b2b software"", 0.71428573), (""cake software"", 0.71428573), (""e-on software"", 0.71428573), (""free software"", 0.71428573), (""web software"", 0.71428573), (""autodesk software"", 0.7058824)]","Tuple{String,Float32}[(""adobe software"", 1.0), (""apple software"", 0.78571427), (""mobile software"", 0.73333335), (""audit software"", 0.71428573), (""b2b software"", 0.71428573), (""cake software"", 0.71428573), (""e-on software"", 0.71428573), (""free software"", 0.71428573), (""web software"", 0.71428573), (""autodesk software"", 0.7058824)]"
cassandra,"Tuple{String,Float32}[(""cassandra"", 1.0)]","Tuple{String,Float32}[(""cassandra"", 1.0)]"
apache spark,"Tuple{String,Float32}[(""apache spark"", 1.0), (""apache storm"", 0.75)]","Tuple{String,Float32}[(""apache spark"", 1.0), (""apache storm"", 0.75)]"
go-to-market strategy,"Tuple{String,Float32}[(""go-to-market strategy"", 1.0)]","Tuple{String,Float32}[(""go-to-market strategy"", 1.0)]"
web project management,"Tuple{String,Float32}[(""web project management"", 1.0), (""hr project management"", 0.8636364), (""sap project management"", 0.8636364), (""legal project management"", 0.8333333), (""project management"", 0.8181818), (""web production management"", 0.8), (""agile project management"", 0.7916667), (""small project management"", 0.7916667), (""total project management"", 0.7916667), (""web-based project management"", 0.78571427), (""web content management"", 0.77272725), (""complex project management"", 0.7692308), (""systems project management"", 0.7692308), (""waterfall project management"", 0.75), (""research project management"", 0.7407407), (""software project management"", 0.7407407), (""digital project management"", 0.7307692), (""product management"", 0.72727275), (""projektmanagement"", 0.72727275), (""global product management"", 0.72), (""phases of project management"", 0.71428573), (""amsi property management"", 0.7083333), (""offshore project management"", 0.7037037)]","Tuple{String,Float32}[(""web project management"", 1.0), (""hr project management"", 0.8636364), (""sap project management"", 0.8636364), (""legal project management"", 0.8333333), (""project management"", 0.8181818), (""web production management"", 0.8), (""agile project management"", 0.7916667), (""small project management"", 0.7916667), (""total project management"", 0.7916667), (""web-based project management"", 0.78571427), (""web content management"", 0.77272725), (""complex project management"", 0.7692308), (""systems project management"", 0.7692308), (""waterfall project management"", 0.75), (""research project management"", 0.7407407), (""software project management"", 0.7407407), (""digital project management"", 0.7307692), (""product management"", 0.72727275), (""projektmanagement"", 0.72727275), (""global product management"", 0.72), (""phases of project management"", 0.71428573), (""amsi property management"", 0.7083333), (""offshore project management"", 0.7037037)]"
wordpress,"Tuple{String,Float32}[(""wordpress"", 1.0)]","Tuple{String,Float32}[(""wordpress"", 1.0)]"
construction,"Tuple{String,Float32}[(""construction"", 1.0), (""deconstruction"", 0.85714287), (""reconstruction"", 0.85714287), (""constructive"", 0.8333333), (""instruction"", 0.8333333), (""reconstructions"", 0.8), (""conduction"", 0.75), (""conservation"", 0.75), (""constipation"", 0.75), (""construct"", 0.75), (""construct 2"", 0.75), (""construction law"", 0.75), (""destruction"", 0.75), (""instructions"", 0.75), (""osp construction"", 0.75), (""pre-construction"", 0.75), (""set construction"", 0.75), (""cpr instruction"", 0.73333335), (""constructivism"", 0.71428573), (""cost reduction"", 0.71428573), (""construction risk"", 0.7058824), (""lean construction"", 0.7058824), (""road construction"", 0.7058824), (""well construction"", 0.7058824)]","Tuple{String,Float32}[(""construction"", 1.0), (""deconstruction"", 0.85714287), (""reconstruction"", 0.85714287), (""constructive"", 0.8333333), (""instruction"", 0.8333333), (""reconstructions"", 0.8), (""conduction"", 0.75), (""conservation"", 0.75), (""constipation"", 0.75), (""construct"", 0.75), (""construct 2"", 0.75), (""construction law"", 0.75), (""destruction"", 0.75), (""instructions"", 0.75), (""osp construction"", 0.75), (""pre-construction"", 0.75), (""set construction"", 0.75), (""cpr instruction"", 0.73333335), (""constructivism"", 0.71428573), (""cost reduction"", 0.71428573), (""construction risk"", 0.7058824), (""lean construction"", 0.7058824), (""road construction"", 0.7058824), (""well construction"", 0.7058824)]"
subcontracting,"Tuple{String,Float32}[(""subcontracting"", 1.0), (""gsa contracting"", 0.8), (""subcontracts"", 0.78571427), (""contacting"", 0.71428573)]","Tuple{String,Float32}[(""subcontracting"", 1.0), (""gsa contracting"", 0.8), (""subcontracts"", 0.78571427), (""contacting"", 0.71428573)]"
xhtml,"Tuple{String,Float32}[(""xhtml"", 1.0), (""chtml"", 0.8), (""dhtml"", 0.8), (""html"", 0.8), (""jhtml"", 0.8), (""shtml"", 0.8)]","Tuple{String,Float32}[(""xhtml"", 1.0), (""chtml"", 0.8), (""dhtml"", 0.8), (""html"", 0.8), (""jhtml"", 0.8), (""shtml"", 0.8)]"
oracle forms,"Tuple{String,Float32}[(""oracle forms"", 1.0), (""oracle bom"", 0.75), (""oracle crm"", 0.75), (""oracle rdbms"", 0.75), (""oracle reports"", 0.71428573), (""oracle streams"", 0.71428573)]","Tuple{String,Float32}[(""oracle forms"", 1.0), (""oracle bom"", 0.75), (""oracle crm"", 0.75), (""oracle rdbms"", 0.75), (""oracle reports"", 0.71428573), (""oracle streams"", 0.71428573)]"
oracle reports,"Tuple{String,Float32}[(""oracle reports"", 1.0), (""alv reports"", 0.71428573), (""daily reports"", 0.71428573), (""oracle forms"", 0.71428573), (""oracle portal"", 0.71428573), (""oracle support"", 0.71428573)]","Tuple{String,Float32}[(""oracle reports"", 1.0), (""alv reports"", 0.71428573), (""daily reports"", 0.71428573), (""oracle forms"", 0.71428573), (""oracle portal"", 0.71428573), (""oracle support"", 0.71428573)]"
software development life cycle (sdlc),"Tuple{String,Float32}[(""software development life cycle (sdlc)"", 1.0), (""software development life cycle"", 0.81578946), (""software testing life cycle (stlc)"", 0.7368421)]","Tuple{String,Float32}[(""software development life cycle (sdlc)"", 1.0), (""software development life cycle"", 0.81578946), (""software testing life cycle (stlc)"", 0.7368421)]"
product owner,"Tuple{String,Float32}[(""product line"", 0.7692308), (""product lines"", 0.7692308)]","Tuple{String,Float32}[(""product line"", 0.7692308), (""product lines"", 0.7692308)]"
managed services,"Tuple{String,Float32}[(""managed services"", 1.0), (""managed servers"", 0.8125), (""language services"", 0.7647059), (""image services"", 0.75), (""related services"", 0.75), (""shared services"", 0.75), (""managed print services"", 0.72727275), (""java web services"", 0.7058824), (""mortgage services"", 0.7058824)]","Tuple{String,Float32}[(""managed services"", 1.0), (""managed servers"", 0.8125), (""language services"", 0.7647059), (""image services"", 0.75), (""related services"", 0.75), (""shared services"", 0.75), (""managed print services"", 0.72727275), (""java web services"", 0.7058824), (""mortgage services"", 0.7058824)]"
wireless,"Tuple{String,Float32}[(""wireless"", 1.0)]","Tuple{String,Float32}[(""wireless"", 1.0)]"
mobile devices,"Tuple{String,Float32}[(""mobile devices"", 1.0), (""mobile services"", 0.8666667), (""mobile design"", 0.71428573), (""mobile office"", 0.71428573)]","Tuple{String,Float32}[(""mobile devices"", 1.0), (""mobile services"", 0.8666667), (""mobile design"", 0.71428573), (""mobile office"", 0.71428573)]"
meteor.js,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
redux,"Tuple{String,Float32}[(""red x"", 0.8), (""relux"", 0.8)]","Tuple{String,Float32}[(""red x"", 0.8), (""relux"", 0.8)]"
git,"Tuple{String,Float32}[(""git"", 1.0), (""gait"", 0.75), (""gint"", 0.75), (""grit"", 0.75)]","Tuple{String,Float32}[(""git"", 1.0), (""gait"", 0.75), (""gint"", 0.75), (""grit"", 0.75)]"
budgeting,"Tuple{String,Float32}[(""budgeting"", 1.0), (""bugeting"", 0.8888889), (""hr budgeting"", 0.75)]","Tuple{String,Float32}[(""budgeting"", 1.0), (""bugeting"", 0.8888889), (""hr budgeting"", 0.75)]"
receiving,"Tuple{String,Float32}[(""receiving"", 1.0), (""recieving"", 0.7777778), (""recuiting"", 0.7777778), (""reserving"", 0.7777778)]","Tuple{String,Float32}[(""receiving"", 1.0), (""recieving"", 0.7777778), (""recuiting"", 0.7777778), (""reserving"", 0.7777778)]"
data warehousing,"Tuple{String,Float32}[(""data warehousing"", 1.0), (""data warehouse"", 0.8125), (""lean warehousing"", 0.75)]","Tuple{String,Float32}[(""data warehousing"", 1.0), (""data warehouse"", 0.8125), (""lean warehousing"", 0.75)]"
etl,"Tuple{String,Float32}[(""etl"", 1.0), (""retl"", 0.75)]","Tuple{String,Float32}[(""etl"", 1.0), (""retl"", 0.75)]"
enterprise architecture,"Tuple{String,Float32}[(""enterprise architecture"", 1.0), (""enterprise architect"", 0.8695652), (""enterprise architects"", 0.8695652), (""java enterprise architecture"", 0.8214286), (""interactive architecture"", 0.7916667), (""interface architecture"", 0.7826087), (""interior architecture"", 0.7826087), (""integration architecture"", 0.75), (""federal enterprise architecture"", 0.7419355), (""engine architecture"", 0.73913044), (""experience architecture"", 0.73913044), (""contemporary architecture"", 0.72), (""enterprise architecture planning"", 0.71875)]","Tuple{String,Float32}[(""enterprise architecture"", 1.0), (""enterprise architect"", 0.8695652), (""enterprise architects"", 0.8695652), (""java enterprise architecture"", 0.8214286), (""interactive architecture"", 0.7916667), (""interface architecture"", 0.7826087), (""interior architecture"", 0.7826087), (""integration architecture"", 0.75), (""federal enterprise architecture"", 0.7419355), (""engine architecture"", 0.73913044), (""experience architecture"", 0.73913044), (""contemporary architecture"", 0.72), (""enterprise architecture planning"", 0.71875)]"
html 5,"Tuple{String,Float32}[(""html5"", 0.8333333)]","Tuple{String,Float32}[(""html5"", 0.8333333)]"
ba studies translation and interpretation english french,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
accurate keyboard speed 65 wpm 98% accuracy 10 finger typing,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
unix,"Tuple{String,Float32}[(""unix"", 1.0), (""lunix"", 0.8), (""nix"", 0.75), (""onix"", 0.75), (""uix"", 0.75), (""un*x"", 0.75), (""unit"", 0.75)]","Tuple{String,Float32}[(""unix"", 1.0), (""lunix"", 0.8), (""nix"", 0.75), (""onix"", 0.75), (""uix"", 0.75), (""un*x"", 0.75), (""unit"", 0.75)]"
activerecord,"Tuple{String,Float32}[(""activerecord"", 1.0), (""active record"", 0.9230769), (""active reports"", 0.71428573)]","Tuple{String,Float32}[(""activerecord"", 1.0), (""active record"", 0.9230769), (""active reports"", 0.71428573)]"
scala,"Tuple{String,Float32}[(""scala"", 1.0), (""iscala"", 0.8333333), (""cala"", 0.8), (""scada"", 0.8)]","Tuple{String,Float32}[(""scala"", 1.0), (""iscala"", 0.8333333), (""cala"", 0.8), (""scada"", 0.8)]"
electronics,"Tuple{String,Float32}[(""electronics"", 1.0), (""electronica"", 0.90909094), (""electrics"", 0.8181818), (""bioelectronics"", 0.78571427), (""electrodynamics"", 0.73333335), (""electron optics"", 0.73333335), (""nanoelectronics"", 0.73333335), (""optoelectronics"", 0.73333335), (""elections"", 0.72727275), (""electron"", 0.72727275), (""tectonics"", 0.72727275), (""electro-optics"", 0.71428573), (""electrostatics"", 0.71428573)]","Tuple{String,Float32}[(""electronics"", 1.0), (""electronica"", 0.90909094), (""electrics"", 0.8181818), (""bioelectronics"", 0.78571427), (""electrodynamics"", 0.73333335), (""electron optics"", 0.73333335), (""nanoelectronics"", 0.73333335), (""optoelectronics"", 0.73333335), (""elections"", 0.72727275), (""electron"", 0.72727275), (""tectonics"", 0.72727275), (""electro-optics"", 0.71428573), (""electrostatics"", 0.71428573)]"
illustration,"Tuple{String,Float32}[(""illustration"", 1.0), (""illustrative"", 0.8333333), (""illustrator"", 0.8333333), (""cad illustration"", 0.75), (""illistrator"", 0.75), (""illumination"", 0.75), (""illustrators"", 0.75), (""book illustration"", 0.7058824)]","Tuple{String,Float32}[(""illustration"", 1.0), (""illustrative"", 0.8333333), (""illustrator"", 0.8333333), (""cad illustration"", 0.75), (""illistrator"", 0.75), (""illumination"", 0.75), (""illustrators"", 0.75), (""book illustration"", 0.7058824)]"
illustrator,"Tuple{String,Float32}[(""illustrator"", 1.0), (""illustrators"", 0.9166667), (""illistrator"", 0.90909094), (""illustration"", 0.8333333), (""illustratorcs4"", 0.78571427), (""illustrative"", 0.75)]","Tuple{String,Float32}[(""illustrator"", 1.0), (""illustrators"", 0.9166667), (""illistrator"", 0.90909094), (""illustration"", 0.8333333), (""illustratorcs4"", 0.78571427), (""illustrative"", 0.75)]"
bioinformatics,"Tuple{String,Float32}[(""bioinformatics"", 1.0), (""geoinformatics"", 0.85714287), (""informatics"", 0.78571427), (""neuroinformatics"", 0.75), (""cheminformatics"", 0.73333335), (""informatica"", 0.71428573)]","Tuple{String,Float32}[(""bioinformatics"", 1.0), (""geoinformatics"", 0.85714287), (""informatics"", 0.78571427), (""neuroinformatics"", 0.75), (""cheminformatics"", 0.73333335), (""informatica"", 0.71428573)]"
informatics,"Tuple{String,Float32}[(""informatics"", 1.0), (""informatica"", 0.90909094), (""informative"", 0.8181818), (""bioinformatics"", 0.78571427), (""geoinformatics"", 0.78571427), (""cheminformatics"", 0.73333335)]","Tuple{String,Float32}[(""informatics"", 1.0), (""informatica"", 0.90909094), (""informative"", 0.8181818), (""bioinformatics"", 0.78571427), (""geoinformatics"", 0.78571427), (""cheminformatics"", 0.73333335)]"
c/c++,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
embedded software,"Tuple{String,Float32}[(""embedded software"", 1.0), (""media software"", 0.7058824), (""remedy software"", 0.7058824)]","Tuple{String,Float32}[(""embedded software"", 1.0), (""media software"", 0.7058824), (""remedy software"", 0.7058824)]"
rtos,"Tuple{String,Float32}[(""mtos"", 0.75), (""ros"", 0.75), (""rpos"", 0.75), (""rtas"", 0.75), (""rtds"", 0.75), (""rtgs"", 0.75), (""rtls"", 0.75), (""rtms"", 0.75), (""rto"", 0.75), (""rts"", 0.75), (""tos"", 0.75)]","Tuple{String,Float32}[(""mtos"", 0.75), (""ros"", 0.75), (""rpos"", 0.75), (""rtas"", 0.75), (""rtds"", 0.75), (""rtgs"", 0.75), (""rtls"", 0.75), (""rtms"", 0.75), (""rto"", 0.75), (""rts"", 0.75), (""tos"", 0.75)]"
orcad,"Tuple{String,Float32}[(""orcad"", 1.0), (""orca"", 0.8), (""orchard"", 0.71428573)]","Tuple{String,Float32}[(""orcad"", 1.0), (""orca"", 0.8), (""orchard"", 0.71428573)]"
data mining,"Tuple{String,Float32}[(""data mining"", 1.0), (""data munging"", 0.8333333), (""data wiring"", 0.8181818), (""data mapping"", 0.75), (""data masking"", 0.75), (""database mining"", 0.73333335), (""data coding"", 0.72727275)]","Tuple{String,Float32}[(""data mining"", 1.0), (""data munging"", 0.8333333), (""data wiring"", 0.8181818), (""data mapping"", 0.75), (""data masking"", 0.75), (""database mining"", 0.73333335), (""data coding"", 0.72727275)]"
creative direction,"Tuple{String,Float32}[(""creative direction"", 1.0), (""creative fiction"", 0.8333333), (""creative conception"", 0.7368421), (""creative executions"", 0.7368421), (""creative design"", 0.7222222), (""creative vision"", 0.7222222)]","Tuple{String,Float32}[(""creative direction"", 1.0), (""creative fiction"", 0.8333333), (""creative conception"", 0.7368421), (""creative executions"", 0.7368421), (""creative design"", 0.7222222), (""creative vision"", 0.7222222)]"
quality assurance,"Tuple{String,Float32}[(""quality assurance"", 1.0), (""data quality assurance"", 0.77272725), (""sterility assurance"", 0.7368421), (""identity assurance"", 0.7222222), (""security assurance"", 0.7222222), (""quality assurance review"", 0.7083333)]","Tuple{String,Float32}[(""quality assurance"", 1.0), (""data quality assurance"", 0.77272725), (""sterility assurance"", 0.7368421), (""identity assurance"", 0.7222222), (""security assurance"", 0.7222222), (""quality assurance review"", 0.7083333)]"
quality management systems,"Tuple{String,Float32}[(""safety management systems"", 0.84615386), (""building management systems"", 0.8148148), (""learning management systems"", 0.7777778), (""property management systems"", 0.7777778), (""battery management systems"", 0.7692308), (""engine management systems"", 0.7692308), (""flight management systems"", 0.7692308), (""labor management systems"", 0.7692308), (""retail management systems"", 0.7692308), (""risk management systems"", 0.7692308), (""traffic management systems"", 0.7692308), (""visual management systems"", 0.7692308), (""content management systems"", 0.7307692), (""course management systems"", 0.7307692), (""ehs management systems"", 0.7307692), (""element management systems"", 0.7307692), (""hse management systems"", 0.7307692), (""compliance management systems"", 0.7241379), (""execution management systems"", 0.71428573), (""knowledge management systems"", 0.71428573), (""pavement management systems"", 0.7037037), (""workflow management systems"", 0.7037037)]","Tuple{String,Float32}[(""safety management systems"", 0.84615386), (""building management systems"", 0.8148148), (""learning management systems"", 0.7777778), (""property management systems"", 0.7777778), (""battery management systems"", 0.7692308), (""engine management systems"", 0.7692308), (""flight management systems"", 0.7692308), (""labor management systems"", 0.7692308), (""retail management systems"", 0.7692308), (""risk management systems"", 0.7692308), (""traffic management systems"", 0.7692308), (""visual management systems"", 0.7692308), (""content management systems"", 0.7307692), (""course management systems"", 0.7307692), (""ehs management systems"", 0.7307692), (""element management systems"", 0.7307692), (""hse management systems"", 0.7307692), (""compliance management systems"", 0.7241379), (""execution management systems"", 0.71428573), (""knowledge management systems"", 0.71428573), (""pavement management systems"", 0.7037037), (""workflow management systems"", 0.7037037)]"
certified lead auditor,"Tuple{String,Float32}[(""certified lead auditor"", 1.0), (""certified internal auditor"", 0.7692308), (""certified lead renovator"", 0.75)]","Tuple{String,Float32}[(""certified lead auditor"", 1.0), (""certified internal auditor"", 0.7692308), (""certified lead renovator"", 0.75)]"
